industry,stream,status,activities
banking,acquire_to_retire,backbone,7
banking,apply_to_disburse,corpus_calibrated,7
banking,budget_to_forecast,backbone,6
banking,change_to_deploy,corpus_calibrated,8
banking,contract_to_renewal,backbone,7
banking,data_to_insight,backbone,6
banking,hire_to_retire,backbone,9
banking,idea_to_market,corpus_calibrated,8
banking,incident_to_resolution,corpus_calibrated,10
banking,initiate_to_settle,overlay,7
banking,issue_to_resolution,backbone,7
banking,lead_to_order,backbone,9
banking,onboard_to_monitor,overlay,6
banking,order_to_cash,corpus_calibrated,13
banking,plan_to_produce,backbone,7
banking,procure_to_pay,corpus_calibrated,13
banking,record_to_report,backbone,10
banking,request_to_fulfil,backbone,5
banking,risk_to_compliance,backbone,8
consumer_products,acquire_to_retire,backbone,7
consumer_products,budget_to_forecast,backbone,6
consumer_products,change_to_deploy,corpus_calibrated,8
consumer_products,contract_to_renewal,backbone,7
consumer_products,data_to_insight,backbone,6
consumer_products,hire_to_retire,backbone,9
consumer_products,idea_to_market,corpus_calibrated,8
consumer_products,incident_to_resolution,corpus_calibrated,10
consumer_products,issue_to_resolution,backbone,7
consumer_products,lead_to_order,backbone,9
consumer_products,order_to_cash,corpus_calibrated,13
consumer_products,plan_to_produce,backbone,7
consumer_products,procure_to_pay,corpus_calibrated,13
consumer_products,record_to_report,backbone,10
consumer_products,request_to_fulfil,backbone,5
consumer_products,risk_to_compliance,backbone,8
healthcare,acquire_to_retire,backbone,7
healthcare,admit_to_discharge,overlay,6
healthcare,budget_to_forecast,backbone,6
healthcare,change_to_deploy,corpus_calibrated,8
healthcare,contract_to_renewal,backbone,7
healthcare,data_to_insight,backbone,6
healthcare,hire_to_retire,backbone,9
healthcare,idea_to_market,corpus_calibrated,8
healthcare,incident_to_rca,overlay,5
healthcare,incident_to_resolution,corpus_calibrated,10
healthcare,issue_to_resolution,backbone,7
healthcare,lead_to_order,backbone,9
healthcare,order_to_cash,corpus_calibrated,13
healthcare,plan_to_produce,backbone,7
healthcare,procure_to_pay,corpus_calibrated,13
healthcare,record_to_report,backbone,10
healthcare,request_to_fulfil,backbone,5
healthcare,risk_to_compliance,backbone,8
insurance,acquire_to_retire,backbone,7
insurance,budget_to_forecast,backbone,6
insurance,change_to_deploy,corpus_calibrated,8
insurance,claim_to_settle,overlay,7
insurance,contract_to_renewal,backbone,7
insurance,data_to_insight,backbone,6
insurance,hire_to_retire,backbone,9
insurance,idea_to_market,corpus_calibrated,8
insurance,incident_to_resolution,corpus_calibrated,10
insurance,issue_to_resolution,backbone,7
insurance,lead_to_order,backbone,9
insurance,order_to_cash,corpus_calibrated,13
insurance,plan_to_produce,backbone,7
insurance,procure_to_pay,corpus_calibrated,13
insurance,quote_to_bind,overlay,6
insurance,record_to_report,backbone,10
insurance,request_to_fulfil,backbone,5
insurance,reserve_to_report,overlay,5
insurance,risk_to_compliance,backbone,8
life_sciences,acquire_to_retire,backbone,7
life_sciences,budget_to_forecast,backbone,6
life_sciences,change_to_deploy,corpus_calibrated,8
life_sciences,contract_to_renewal,backbone,7
life_sciences,data_to_insight,backbone,6
life_sciences,hire_to_retire,backbone,9
life_sciences,idea_to_market,corpus_calibrated,8
